review_id,customer_name,age,brand,model,price_usd,currency,exchange_rate_to_usd,rating,sentiment,country,language,review_date,verified_purchase,battery_life_rating,camera_rating,performance_rating,design_rating,display_rating,helpful_votes,source
1,Aryan Maharaj,45,Realme,Realme 12 Pro,337.31,INR,83.0,2.0,Negative,India,Hindi,2023-11-06,True,1,1,3,2,1,1,Amazon
2,Davi Miguel Sousa,18,Realme,Realme 12 Pro,307.78,BRL,5.7,4.0,Positive,Brazil,Portuguese,2023-03-30,True,3,2,4,3,2,5,Flipkart
3,Pahal Balay,27,Google,Pixel 6,864.53,INR,83.0,4.0,Positive,India,Hindi,2022-12-07,True,3,5,3,2,4,8,AliExpress
4,David Guzman,19,Xiaomi,Redmi Note 13,660.94,AED,3.67,3.0,Positive,UAE,English,2025-03-11,False,1,3,2,1,2,3,Amazon
5,Yago Leão,38,Motorola,Edge 50,792.13,BRL,5.7,3.0,Neutral,Brazil,Portuguese,2023-09-29,True,3,3,2,2,1,0,BestBuy
6,Lara Abreu,38,Apple,iPhone 14,948.79,BRL,5.7,5.0,Positive,Brazil,Portuguese,2023-06-27,False,5,4,5,5,4,6,AliExpress
7,Gina Moore,40,OnePlus,OnePlus 12,420.13,AED,3.67,3.0,Positive,UAE,English,2024-03-27,False,3,3,2,1,2,2,eBay
8,James Howard,39,Apple,iPhone SE,1443.76,AUD,1.53,2.0,Negative,Australia,English,2024-04-08,True,2,1,2,2,2,3,Amazon
9,Rosalia Beyer,32,Realme,Realme 12 Pro,275.73,EUR,0.93,4.0,Positive,Germany,German,2024-10-04,False,4,3,2,3,3,8,eBay
10,Valerie Gray,31,OnePlus,OnePlus Nord 3,545.57,AUD,1.53,3.0,Positive,Australia,English,2025-02-25,True,2,2,3,3,2,4,BestBuy
11,Aimee Hurst-Taylor,20,Realme,Realme 12 Pro,462.3,GBP,0.78,3.0,Neutral,UK,English,2025-04-05,True,4,1,3,5,2,0,eBay
12,Benjamin Stanley,30,Xiaomi,Mi 13 Pro,495.45,CAD,1.38,2.0,Neutral,Canada,English,2024-01-14,True,1,2,1,2,1,2,Amazon
13,Igor Brito,18,Motorola,Moto G Power,404.64,BRL,5.7,5.0,Positive,Brazil,Portuguese,2024-06-03,True,5,5,3,5,5,7,AliExpress
14,Mark Diaz,32,Realme,Realme Narzo 70,247.88,CAD,1.38,2.0,Negative,Canada,English,2024-05-19,False,1,3,2,1,2,2,eBay
15,Ms Hollie Phillips,39,Samsung,Galaxy Note 20,1146.49,GBP,0.78,3.0,Neutral,UK,English,2025-09-17,True,2,3,1,2,3,4,BestBuy
